Date,Product Name,Symbol,Open,High,Low,Close,Volume
2023-01-13,Euro,EUR=X,1.0852,1.0868,1.0781,1.0833,309393.0
2023-01-16,Euro,EUR=X,1.0834,1.0874,1.0802,1.0822,192260.0
2023-01-17,Euro,EUR=X,1.0822,1.0869,1.0775,1.0788,313375.0
2023-01-18,Euro,EUR=X,1.0788,1.0887,1.0767,1.0794,372096.0
2023-01-19,Euro,EUR=X,1.0794,1.084,1.0782,1.083,305121.0
2023-01-20,Euro,EUR=X,1.083,1.0858,1.0802,1.0856,254659.0
2023-01-23,Euro,EUR=X,1.0868,1.0926,1.0846,1.0872,255943.0
2023-01-24,Euro,EUR=X,1.0872,1.0898,1.0835,1.0888,244029.0
2023-01-25,Euro,EUR=X,1.0888,1.0923,1.0858,1.0916,240506.0
2023-01-26,Euro,EUR=X,1.0916,1.093,1.0851,1.0892,252036.0
2023-01-27,Euro,EUR=X,1.0892,1.09,1.0838,1.0869,234697.0
2023-01-30,Euro,EUR=X,1.0867,1.0914,1.0839,1.0851,241053.0
2023-01-31,Euro,EUR=X,1.0851,1.0875,1.0802,1.0862,259654.0
2023-02-01,Euro,EUR=X,1.0862,1.1,1.0852,1.0989,277061.0
2023-02-02,Euro,EUR=X,1.0989,1.1033,1.0886,1.091,330487.0
2023-02-03,Euro,EUR=X,1.091,1.094,1.0793,1.0795,305337.0
2023-02-06,Euro,EUR=X,1.0788,1.0799,1.071,1.0726,256094.0
2023-02-07,Euro,EUR=X,1.0726,1.0767,1.0669,1.0728,321430.0
2023-02-08,Euro,EUR=X,1.0728,1.0761,1.071,1.0714,244811.0
2023-02-09,Euro,EUR=X,1.0714,1.0791,1.071,1.074,255410.0
2023-01-10,British Pound,GBP=X,1.2184,1.2197,1.211,1.215,362934.0
2023-01-11,British Pound,GBP=X,1.215,1.2179,1.21,1.2149,334239.0
2023-01-12,British Pound,GBP=X,1.2149,1.2247,1.2089,1.2212,418364.0
2023-01-13,British Pound,GBP=X,1.2212,1.2248,1.215,1.2234,359571.0
2023-01-16,British Pound,GBP=X,1.2201,1.2289,1.2172,1.2195,279922.0
2023-01-17,British Pound,GBP=X,1.2196,1.23,1.217,1.2288,378523.0
2023-01-18,British Pound,GBP=X,1.2288,1.2435,1.2256,1.2346,428998.0
2023-01-19,British Pound,GBP=X,1.2346,1.2397,1.2313,1.2391,360596.0
2023-01-20,British Pound,GBP=X,1.2391,1.2405,1.2336,1.2398,307229.0
2023-01-23,British Pound,GBP=X,1.2398,1.2447,1.2324,1.2379,306270.0
2023-01-24,British Pound,GBP=X,1.2378,1.2414,1.2264,1.2339,302037.0
2023-01-25,British Pound,GBP=X,1.2338,1.2404,1.2284,1.2403,292719.0
2023-01-26,British Pound,GBP=X,1.2403,1.243,1.2345,1.241,288003.0
2023-01-27,British Pound,GBP=X,1.241,1.2419,1.2346,1.2396,269490.0
2023-01-30,British Pound,GBP=X,1.238,1.2417,1.2338,1.2351,299857.0
2023-01-31,British Pound,GBP=X,1.2351,1.2371,1.2284,1.2317,304298.0
2023-02-01,British Pound,GBP=X,1.2317,1.2394,1.2277,1.2373,325809.0
2023-02-02,British Pound,GBP=X,1.2373,1.24,1.2223,1.2225,388999.0
2023-02-03,British Pound,GBP=X,1.2225,1.2266,1.2048,1.2054,355396.0
2023-02-06,British Pound,GBP=X,1.2033,1.2077,1.2006,1.2019,307791.0
2023-02-07,British Pound,GBP=X,1.2019,1.2095,1.1962,1.2048,350206.0
2023-02-08,British Pound,GBP=X,1.2048,1.211,1.2039,1.2072,304711.0
2023-02-09,British Pound,GBP=X,1.2072,1.2194,1.2057,1.212,312216.0
2023-01-10,Gold,^XAU,1871.72,1879.79,1868.44,1877.09,5613.0
2023-01-11,Gold,^XAU,1877.05,1885.83,1868.39,1875.93,5695.0
2023-01-12,Gold,^XAU,1875.9,1899.97,1875.37,1897.13,5623.0
2023-01-13,Gold,^XAU,1897.09,1921.42,1892.75,1920.56,5500.0
2023-01-16,Gold,^XAU,1923.19,1927.35,1911.31,1915.63,5214.0
2023-01-17,Gold,^XAU,1915.63,1918.62,1904.54,1908.61,5600.0
2023-01-18,Gold,^XAU,1908.63,1924.11,1896.95,1904.18,5484.0
2023-01-19,Gold,^XAU,1904.17,1934.24,1901.37,1932.11,5522.0
2023-01-20,Gold,^XAU,1932.14,1935.63,1922.01,1926.47,5671.0
2023-01-23,Gold,^XAU,1929.99,1934.86,1913.52,1931.36,5540.0
2023-01-24,Gold,^XAU,1931.33,1941.23,1920.53,1937.35,5721.0
2023-01-25,Gold,^XAU,1937.36,1946.5,1922.33,1946.39,5154.0
2023-01-26,Gold,^XAU,1946.39,1948.77,1923.54,1929.32,5572.0
2023-01-27,Gold,^XAU,1929.33,1933.83,1920.14,1928.3,5619.0
2023-01-30,Gold,^XAU,1928.99,1933.97,1921.27,1923.16,5507.0
2023-01-31,Gold,^XAU,1923.18,1930.68,1901.84,1928.18,5547.0
2023-02-01,Gold,^XAU,1928.17,1952.36,1922.22,1950.28,5395.0
2023-02-02,Gold,^XAU,1950.3,1958.83,1911.82,1912.63,5405.0
2023-02-03,Gold,^XAU,1912.63,1918.21,1862.71,1865.72,5438.0
2023-02-06,Gold,^XAU,1870.99,1880.39,1864.26,1867.71,5297.0
2023-02-07,Gold,^XAU,1867.71,1881.29,1866.55,1872.47,5346.0
2023-02-08,Gold,^XAU,1872.41,1885.72,1870.52,1875.71,5569.0
2023-02-09,Gold,^XAU,1875.72,1888.62,1859.53,1861.51,5498.0
2023-01-10,Austrilian Dollar,AUD=X,0.6913,0.6928,0.686,0.6887,260743.0
2023-01-11,Austrilian Dollar,AUD=X,0.6887,0.6926,0.6873,0.6902,228112.0
2023-01-12,Austrilian Dollar,AUD=X,0.6901,0.6984,0.6878,0.6971,287759.0
2023-01-13,Austrilian Dollar,AUD=X,0.6971,0.6994,0.6916,0.6977,258225.0
2023-01-16,Austrilian Dollar,AUD=X,0.6978,0.7019,0.6941,0.695,192534.0
2023-01-17,Austrilian Dollar,AUD=X,0.6955,0.6997,0.693,0.6987,258721.0
2023-01-18,Austrilian Dollar,AUD=X,0.6987,0.7063,0.6936,0.6944,303122.0
2023-01-19,Austrilian Dollar,AUD=X,0.6944,0.6948,0.6872,0.691,254891.0
2023-01-20,Austrilian Dollar,AUD=X,0.691,0.6974,0.6906,0.6962,228559.0
2023-01-23,Austrilian Dollar,AUD=X,0.6968,0.704,0.6962,0.7028,240035.0
2023-01-24,Austrilian Dollar,AUD=X,0.7028,0.7057,0.6994,0.7046,213340.0
2023-01-25,Austrilian Dollar,AUD=X,0.7046,0.7122,0.7033,0.7104,218799.0
2023-01-26,Austrilian Dollar,AUD=X,0.7104,0.7142,0.708,0.7115,233477.0
2023-01-27,Austrilian Dollar,AUD=X,0.7115,0.713,0.7083,0.711,205952.0
2023-01-30,Austrilian Dollar,AUD=X,0.7102,0.712,0.7052,0.706,228517.0
2023-01-31,Austrilian Dollar,AUD=X,0.706,0.7064,0.6984,0.7055,248670.0
2023-02-01,Austrilian Dollar,AUD=X,0.7055,0.7145,0.7037,0.7137,258081.0
2023-02-02,Austrilian Dollar,AUD=X,0.7137,0.7158,0.7069,0.7077,283268.0
2023-02-03,Austrilian Dollar,AUD=X,0.7077,0.7082,0.6919,0.6924,277554.0
2023-02-06,Austrilian Dollar,AUD=X,0.6898,0.6948,0.6856,0.6883,226987.0
2023-02-07,Austrilian Dollar,AUD=X,0.6883,0.6988,0.6883,0.6959,278928.0
2023-02-08,Austrilian Dollar,AUD=X,0.6959,0.6996,0.6919,0.6925,223735.0
2023-02-09,Austrilian Dollar,AUD=X,0.6924,0.7011,0.6922,0.6936,208032.0
2023-01-10,Japanese Yen,JPY=X,131.887,132.478,131.394,132.243,462008.0
2023-01-11,Japanese Yen,JPY=X,132.244,132.872,132.068,132.487,400335.0
2023-01-12,Japanese Yen,JPY=X,132.485,132.488,128.874,129.302,576350.0
2023-01-13,Japanese Yen,JPY=X,129.301,129.423,127.465,127.848,511337.0
2023-01-16,Japanese Yen,JPY=X,127.818,128.861,127.225,128.511,360872.0
2023-01-17,Japanese Yen,JPY=X,128.546,129.154,127.997,128.144,468560.0
2023-01-18,Japanese Yen,JPY=X,128.143,131.578,127.571,128.922,621445.0
2023-01-19,Japanese Yen,JPY=X,128.921,128.921,127.766,128.432,459715.0
2023-01-20,Japanese Yen,JPY=X,128.432,130.612,128.353,129.505,426113.0
2023-01-23,Japanese Yen,JPY=X,129.475,130.89,129.047,130.665,380278.0
2023-01-24,Japanese Yen,JPY=X,130.666,131.116,129.73,130.168,357038.0
2023-01-25,Japanese Yen,JPY=X,130.168,130.585,129.272,129.586,355552.0
2023-01-26,Japanese Yen,JPY=X,129.587,130.618,129.028,130.219,411251.0
2023-01-27,Japanese Yen,JPY=X,130.218,130.268,129.502,129.852,378695.0
2023-01-30,Japanese Yen,JPY=X,129.705,130.569,129.208,130.448,368001.0
2023-01-31,Japanese Yen,JPY=X,130.446,130.529,129.748,130.108,369464.0
2023-02-01,Japanese Yen,JPY=X,130.106,130.41,128.548,128.945,402069.0
2023-02-02,Japanese Yen,JPY=X,128.946,129.12,128.086,128.713,446463.0
2023-02-03,Japanese Yen,JPY=X,128.713,131.2,128.331,131.185,406030.0
2023-02-06,Japanese Yen,JPY=X,132.377,132.902,131.518,132.641,405169.0
2023-02-07,Japanese Yen,JPY=X,132.642,132.709,130.481,131.077,476961.0
2023-02-08,Japanese Yen,JPY=X,131.076,131.535,130.6,131.432,410594.0
2023-02-09,Japanese Yen,JPY=X,131.43,131.826,130.345,131.539,419539.0
